Date,Open,High,Low,Close,Volume,Adj Close,Buy
7/22/2016,99.260002,99.300003,98.309998,98.660004,28177200,98.660004,1
7/21/2016,99.830002,101,99.129997,99.43,31792000,99.43,1
7/20/2016,100,100.459999,99.739998,99.959999,26276000,99.959999,0
7/19/2016,99.559998,100,99.339996,99.870003,23779900,99.870003,1
7/18/2016,98.699997,100.129997,98.599998,99.830002,36493900,99.830002,1
7/15/2016,98.919998,99.300003,98.5,98.779999,30137000,98.779999,0
7/14/2016,97.389999,98.989998,97.32,98.790001,38919000,98.790001,0
7/13/2016,97.410004,97.669998,96.839996,96.870003,25892200,96.870003,0
7/12/2016,97.169998,97.699997,97.120003,97.419998,24167500,97.419998,1
7/11/2016,96.75,97.650002,96.730003,96.980003,23794900,96.980003,0
7/8/2016,96.489998,96.889999,96.050003,96.68,28912100,96.68,1
7/7/2016,95.699997,96.5,95.620003,95.940002,25139600,95.940002,1
7/6/2016,94.599998,95.660004,94.370003,95.529999,30949100,95.529999,1
7/5/2016,95.389999,95.400002,94.459999,94.989998,27705200,94.989998,0
7/1/2016,95.489998,96.470001,95.330002,95.889999,26026500,95.889999,1
6/30/2016,94.440002,95.769997,94.300003,95.599998,35836400,95.599998,1
6/29/2016,93.970001,94.550003,93.629997,94.400002,36531000,94.400002,1
6/28/2016,92.900002,93.660004,92.139999,93.589996,40444900,93.589996,1
6/27/2016,93,93.050003,91.5,92.040001,45489600,92.040001,0
6/24/2016,92.910004,94.660004,92.650002,93.400002,75311400,93.400002,1
6/23/2016,95.940002,96.290001,95.25,96.099998,32240200,96.099998,1
6/22/2016,96.25,96.889999,95.349998,95.550003,29219100,95.550003,0
6/21/2016,94.940002,96.349998,94.68,95.910004,35546400,95.910004,1
6/20/2016,96,96.57,95.029999,95.099998,34411900,95.099998,1
6/17/2016,96.620003,96.650002,95.300003,95.330002,61008200,95.330002,0
6/16/2016,96.449997,97.75,96.07,97.550003,31326800,97.550003,1
6/15/2016,97.82,98.410004,97.029999,97.139999,29445200,97.139999,1
6/14/2016,97.32,98.480003,96.75,97.459999,31931900,97.459999,0
6/13/2016,98.690002,99.120003,97.099998,97.339996,38020500,97.339996,1
6/10/2016,98.529999,99.349998,98.480003,98.830002,31712900,98.830002,1
6/9/2016,98.5,99.989998,98.459999,99.650002,26601400,99.650002,0
6/8/2016,99.019997,99.559998,98.68,98.940002,20848100,98.940002,1
6/7/2016,99.25,99.870003,98.959999,99.029999,22409500,99.029999,1
6/6/2016,97.989998,101.889999,97.550003,98.629997,23292500,98.629997,0
6/3/2016,97.790001,98.269997,97.449997,97.919998,28504900,97.919998,0
6/2/2016,97.599998,97.839996,96.629997,97.720001,40191600,97.720001,1
6/1/2016,99.019997,99.540001,98.330002,98.459999,29173300,98.459999,1
5/31/2016,99.599998,100.400002,98.82,99.860001,42307200,99.860001,1
5/27/2016,99.440002,100.470001,99.25,100.349998,36341200,100.349998,0
5/26/2016,99.68,100.730003,98.639999,100.410004,56331200,100.410004,1
5/25/2016,98.669998,99.739998,98.110001,99.620003,38168800,99.620003,1
5/24/2016,97.220001,98.089996,96.839996,97.900002,35140200,97.900002,1
5/23/2016,95.870003,97.190002,95.669998,96.43,38018600,96.43,1
5/20/2016,94.639999,95.43,94.519997,95.220001,32026000,95.220001,0
5/19/2016,94.639999,94.639999,93.57,94.199997,30442100,94.199997,1
5/18/2016,94.160004,95.209999,93.889999,94.559998,42062400,94.559998,1
5/17/2016,94.550003,94.699997,93.010002,93.489998,46916900,93.489998,1
5/16/2016,92.389999,94.389999,91.650002,93.879997,61259800,93.879997,0
5/13/2016,90,91.669998,90,90.519997,44392800,90.519997,1
